# Frequency(THz) k_l(Wm-1K-1)
-3.209152309325084048e-03 0.000000000000000000e+00
-1.430876589432838238e-03 0.000000000000000000e+00
1.581863912920445812e-03 0.000000000000000000e+00
1.864190082238509627e-01 3.011539066167117843e-20
2.038511025501063556e-01 3.532623206938270699e-02
2.200489527299278880e-01 3.532623206938270699e-02
2.292452817708757473e-01 3.532623206938273475e-02
2.293806040400360735e-01 3.532623206938276250e-02
2.384754588169358536e-01 1.035259232270408364e-01
3.180482518938160252e-01 1.035259232270408641e-01
3.252877539421368258e-01 1.516500246846090028e-01
3.386122532158542531e-01 1.642463023646137388e-01
3.442079669379422557e-01 1.642463023646138220e-01
3.574355138288717870e-01 1.658186486596583409e-01
3.818368662105113276e-01 1.847172334632301016e-01
3.819992076742888543e-01 1.847172334632301016e-01
3.859756168464930082e-01 1.901570558405819844e-01
3.953225528204822314e-01 2.080679268893277922e-01
4.095877302863525360e-01 2.405205602789621810e-01
4.113232645403714360e-01 2.405205602789621810e-01
4.235099439874803751e-01 2.730221615648002476e-01
4.237705513751428010e-01 2.844311396636192701e-01
4.393197900535026901e-01 2.844311396636192701e-01
4.532197325967102786e-01 3.087040254260383643e-01
4.560210664725072860e-01 3.087040254260383643e-01
4.562271861069797096e-01 3.310823895438982922e-01
4.562498439859679622e-01 3.310823895438982922e-01
4.661525205786590798e-01 3.757156776924031050e-01
4.691219587286024062e-01 4.200047648255051946e-01
4.962029809370346323e-01 4.200047648255051946e-01
5.069830667759629428e-01 4.200047648255051946e-01
5.121816344849381419e-01 4.351090824412059410e-01
5.179138927909505696e-01 4.963105538243909876e-01
5.220025146829553320e-01 5.008807591370133538e-01
5.268364555257065707e-01 5.008807591370133538e-01
5.291975455259559924e-01 9.467548254909068373e-01
5.318067481912889249e-01 9.515424555615422664e-01
5.434632728869612794e-01 9.695781790146918988e-01
5.548540223036001473e-01 9.903552001799444948e-01
5.874314172769656839e-01 9.903552001799451610e-01
5.876919136155461798e-01 1.028168194412792058e+00
5.922462280837532678e-01 1.028168194412792058e+00
5.945027369998575617e-01 1.035221037041917036e+00
5.991997138796900657e-01 1.035221037041917036e+00
5.998839197031694548e-01 1.082251067246223108e+00
6.029563552361270062e-01 1.092657854441742238e+00
6.083844895641418171e-01 1.112756474921373862e+00
6.123702515050191142e-01 1.133744217340664662e+00
6.235335941333080001e-01 1.184674543662940449e+00
6.297752499404654092e-01 1.184674543662940449e+00
6.327832688270170758e-01 1.244639066503945291e+00
6.351743576251632772e-01 1.244639066503945291e+00
6.376730180598351172e-01 1.255535096787225635e+00
6.481858309872806645e-01 1.284576208858329682e+00
6.494787357835876129e-01 1.315220565879363868e+00
6.498731146347832555e-01 1.346791252367093961e+00
6.567019637582912628e-01 1.346791252367093961e+00
6.596905152645065051e-01 1.388954002605847560e+00
6.637094566012313734e-01 1.469794856931026628e+00
6.778818939233032248e-01 1.469794856931026628e+00
6.781832084827077445e-01 1.469794856931026628e+00
6.861350939344046385e-01 1.469794856931026628e+00
6.888822719560454555e-01 1.470115262916693144e+00
6.893443856181895590e-01 1.500201380947115526e+00
6.965542494255129169e-01 1.500201380947115526e+00
7.073726756145870542e-01 1.501253231267832167e+00
7.085933040765054480e-01 1.501253231267832389e+00
7.103892095766755066e-01 1.510294067132003537e+00
7.116386026629806238e-01 1.512041446248850063e+00
7.116697380681531460e-01 1.879186016872891329e+00
7.131848985338788971e-01 1.879912209106605836e+00
7.136400376926095301e-01 1.879912209106605836e+00
7.165058557193387800e-01 1.894002972270217189e+00
7.171386077318143704e-01 1.899684229892965481e+00
7.254918561132243093e-01 1.950231055087814358e+00
7.297335438295858845e-01 1.952157223560352373e+00
7.309454801335776297e-01 1.956392758017440947e+00
7.355739653144600654e-01 1.959351264031198969e+00
7.442023885646884551e-01 1.959351264031198969e+00
7.520874327239412960e-01 1.966245399037407138e+00
7.623795490064879665e-01 1.985174488115622582e+00
7.645410569340443940e-01 2.003661555178942066e+00
7.658310372970762447e-01 2.020627514534889979e+00
7.732803103880137030e-01 2.051274946838951951e+00
7.740235725690198798e-01 2.080207655961459956e+00
7.832029346126760938e-01 2.097614720085519746e+00
7.855902791248525752e-01 2.102485677818123566e+00
7.915064237154384452e-01 2.112087084324265174e+00
7.932528841160615407e-01 2.142743235692121662e+00
7.950612847103204484e-01 2.153823281145271107e+00
7.973135687632526558e-01 2.166755840728188165e+00
8.027573669268972534e-01 2.166755840728188165e+00
8.030217189132832223e-01 2.170980838436802340e+00
8.067604419144883687e-01 2.203904201149540221e+00
8.109486418437232835e-01 2.203904201149540221e+00
8.178261874220760230e-01 2.203904201149540221e+00
8.179950754559526249e-01 2.261997945126040133e+00
8.208555121432056234e-01 2.267663213812952883e+00
8.216240754667150092e-01 2.283528241711465068e+00
8.231637229018378132e-01 2.305712399450293049e+00
8.233444322935009607e-01 2.322309865472834911e+00
8.249282753788858003e-01 2.322309865472834911e+00
8.270519418649039389e-01 2.355413342074358152e+00
8.274939612773901665e-01 2.355413342074358152e+00
8.281590393359327118e-01 2.374561342930503027e+00
8.282086139665688629e-01 2.433056620092652000e+00
8.328293240195970837e-01 2.434171435057259192e+00
8.362248880362889158e-01 2.441257773721047020e+00
8.394814394406745484e-01 2.478737731804541600e+00
8.539780604331926872e-01 2.517311923904111737e+00
8.551632984130338455e-01 2.546723166779186087e+00
8.696542323083442660e-01 2.612828881116395330e+00
8.705613196989259173e-01 2.612828881116395330e+00
8.709111663165965966e-01 2.627467658202072620e+00
8.777096326621007805e-01 2.652453906916850901e+00
8.905103205256558185e-01 2.700069839566954233e+00
8.926171430069497204e-01 2.700069839566954233e+00
8.929587781427297255e-01 2.700069839566954233e+00
8.962199338036352936e-01 2.713361923034920853e+00
9.014572789346780857e-01 2.713361923034920853e+00
9.049689785005557985e-01 2.736927236976737898e+00
9.051763001380196405e-01 2.736927236976737898e+00
9.055355117746057836e-01 2.741181001137742435e+00
9.068748592041522283e-01 2.745973163607233314e+00
9.101416459918908464e-01 2.861418661662977758e+00
9.129876017074283201e-01 2.872895423300827034e+00
9.138591125120267833e-01 2.881196409170852846e+00
9.152411927425180282e-01 2.908553041420810725e+00
9.154957178852571875e-01 3.116581596769617324e+00
9.196389233873519808e-01 3.130087695678973159e+00
9.198523246514500595e-01 3.159952455615436140e+00
9.204667856015507077e-01 3.159952455615436140e+00
9.205437643112497348e-01 3.170953505375735837e+00
9.230625587685550304e-01 3.173685630958166026e+00
9.275911557957410292e-01 3.179181475543715329e+00
9.285901686489943518e-01 3.199208254860429257e+00
9.328262442356545225e-01 3.240988623680944425e+00
9.396576286468798500e-01 3.268043143127592032e+00
9.438203625036157840e-01 3.288880849579347565e+00
9.494729903047042230e-01 3.288880849579347565e+00
9.551009285425523521e-01 3.289847085729269427e+00
9.551587561568690710e-01 3.336906600095221886e+00
9.629721989791694137e-01 3.338627078296283024e+00
9.634470154834730016e-01 3.342670952416341379e+00
9.666409587436587403e-01 3.364083354404401760e+00
9.715564456364322865e-01 3.373238067397778206e+00
9.744434976384741542e-01 3.402407878632275562e+00
9.778887398628957062e-01 3.405074849556907424e+00
9.793931762207149783e-01 3.410344477553067133e+00
9.821539279285688151e-01 3.415352503385226779e+00
9.869930908077876319e-01 3.415352503385226779e+00
9.891878031959581152e-01 3.415352503385226779e+00
9.928570270326793068e-01 3.433654522522005870e+00
9.936171049430753133e-01 3.464047031612634164e+00
9.955333331854152590e-01 3.477441487228248640e+00
9.964598257319673413e-01 3.485308308074412942e+00
9.988633073823833808e-01 3.485308308074412942e+00
9.997565877916582133e-01 3.491128017876484524e+00
1.003713058407860625e+00 3.526666583043599257e+00
1.003828644832432726e+00 3.536435261809653063e+00
1.006257346346860260e+00 3.594703650148313834e+00
1.006968452622271304e+00 3.603380753910724543e+00
1.010782948722348973e+00 3.606393902854503786e+00
1.013707519696352533e+00 3.637473106379896404e+00
1.014862265912856554e+00 3.671661927987106555e+00
1.015048374505786111e+00 3.671661927987106555e+00
1.015873126035584217e+00 3.671750612405061176e+00
1.023724276803321898e+00 3.685992700974880076e+00
1.024454494269919413e+00 3.687005167776971515e+00
1.026480133363217639e+00 3.687005167776971515e+00
1.026586456454340990e+00 3.687992300607440210e+00
1.030886488058101236e+00 3.706009246041892524e+00
1.031409248678227364e+00 3.734236675185704346e+00
1.031615830265455669e+00 3.746621806287042666e+00
1.031816531087774047e+00 3.781499407761125475e+00
1.037658660514723330e+00 3.925934576740839344e+00
1.038021155500372883e+00 3.931461737705576276e+00
1.043269028613444727e+00 4.197589209541472854e+00
1.045525039210826623e+00 4.251385181594017126e+00
1.048383688009847381e+00 4.258804525163432331e+00
1.049624887515976379e+00 4.286924590017989978e+00
1.049644058481883802e+00 4.289449080027366357e+00
1.051159172180376355e+00 4.290885659474490410e+00
1.051263195621967572e+00 4.290885659474490410e+00
1.055343846589595680e+00 4.560814353086419359e+00
1.055734583652605307e+00 4.560814353086419359e+00
1.056630610121562341e+00 4.624794614260359538e+00
1.058074312119182903e+00 4.647573731952276965e+00
1.060211271725478799e+00 4.649397858548836027e+00
1.064235248846654880e+00 4.652434670170229047e+00
1.064983685613037245e+00 4.671387491110787771e+00
1.065274451421079682e+00 4.671387491110787771e+00
1.068994012928629722e+00 4.684183077428659026e+00
1.069184397293164279e+00 4.685234633407794114e+00
1.069412820648420137e+00 4.712219932952034007e+00
1.074033671408791246e+00 4.765013689364554494e+00
1.076953942523879659e+00 4.796206653753571914e+00
1.077927669497794172e+00 4.798928160532143217e+00
1.078411900500606313e+00 4.798928160532143217e+00
1.078598625740485151e+00 4.839556605038388248e+00
1.083833116581701894e+00 4.846822383005953583e+00
1.088796937575390533e+00 4.865072588278914978e+00
1.095405867827239588e+00 4.870437366784741151e+00
1.098272008435911662e+00 4.870437366784741151e+00
1.098620288636620979e+00 4.870437366784741151e+00
1.100398886092864403e+00 4.881699995615971233e+00
1.103575295658674182e+00 4.900612517750460029e+00
1.103857015425018906e+00 4.900612517750460029e+00
1.104162946398475675e+00 4.900612517750460029e+00
