# Frequency(THz) k_l(Wm-1K-1)
-3.209152309325084048e-03 0.000000000000000000e+00
-1.430876589432838238e-03 0.000000000000000000e+00
1.581863912920445812e-03 0.000000000000000000e+00
1.864190082238509627e-01 1.933832824964529868e-22
2.038511025501063556e-01 2.425989036797704997e-17
2.200489527299278880e-01 2.426038743315380958e-17
2.292452817708757473e-01 3.390739508381115236e-02
2.293806040400360735e-01 6.958135810506681229e-02
2.384754588169358536e-01 6.958135810506685393e-02
3.180482518938160252e-01 9.900004775824615411e-02
3.252877539421368258e-01 1.684725872529696522e-01
3.386122532158542531e-01 1.684725872529696522e-01
3.442079669379422557e-01 2.792717388978053217e-01
3.574355138288717870e-01 4.928325373661245346e-01
3.818368662105113276e-01 4.928325373661245346e-01
3.819992076742888543e-01 4.928325373661245346e-01
3.859756168464930082e-01 5.255743925546092488e-01
3.953225528204822314e-01 5.255743925546092488e-01
4.095877302863525360e-01 5.255743925546092488e-01
4.113232645403714360e-01 5.337506211799175615e-01
4.235099439874803751e-01 5.337506211799175615e-01
4.237705513751428010e-01 5.494571116490781781e-01
4.393197900535026901e-01 5.494571116490781781e-01
4.532197325967102786e-01 5.654610608775295644e-01
4.560210664725072860e-01 5.868173418169616573e-01
4.562271861069797096e-01 6.102438857555765317e-01
4.562498439859679622e-01 6.324383304022386243e-01
4.661525205786590798e-01 6.324383304022386243e-01
4.691219587286024062e-01 6.446590364186569611e-01
4.962029809370346323e-01 6.533584159990525331e-01
5.069830667759629428e-01 6.852668016349420244e-01
5.121816344849381419e-01 7.521801250354442914e-01
5.179138927909505696e-01 7.708194950777774723e-01
5.220025146829553320e-01 7.708194950777774723e-01
5.268364555257065707e-01 7.708194950777774723e-01
5.291975455259559924e-01 7.708194950777778054e-01
5.318067481912889249e-01 7.742478046353961085e-01
5.434632728869612794e-01 7.742478046353961085e-01
5.548540223036001473e-01 7.779520380131865753e-01
5.874314172769656839e-01 1.734830220660295241e+00
5.876919136155461798e-01 1.734830220660295241e+00
5.922462280837532678e-01 1.734830220660295241e+00
5.945027369998575617e-01 1.734830220660295241e+00
5.991997138796900657e-01 1.735710973028133708e+00
5.998839197031694548e-01 1.739754357548077390e+00
6.029563552361270062e-01 1.782817795813960604e+00
6.083844895641418171e-01 1.782817795813960604e+00
6.123702515050191142e-01 1.805243063202659259e+00
6.235335941333080001e-01 1.805243063202659259e+00
6.297752499404654092e-01 1.859158850245149930e+00
6.327832688270170758e-01 1.954291670395450708e+00
6.351743576251632772e-01 1.970664592544991711e+00
6.376730180598351172e-01 1.979630740534699118e+00
6.481858309872806645e-01 1.979630740534699118e+00
6.494787357835876129e-01 2.016921733747484957e+00
6.498731146347832555e-01 2.026932649819431997e+00
6.567019637582912628e-01 2.026932649819431997e+00
6.596905152645065051e-01 2.029397855486701818e+00
6.637094566012313734e-01 2.039281289792482799e+00
6.778818939233032248e-01 2.052952803878441035e+00
6.781832084827077445e-01 2.066840893560974113e+00
6.861350939344046385e-01 2.111329645697060720e+00
6.888822719560454555e-01 2.220929964195236916e+00
6.893443856181895590e-01 2.220929964195236916e+00
6.965542494255129169e-01 2.224070665855951923e+00
7.073726756145870542e-01 2.274925751138953345e+00
7.085933040765054480e-01 2.424840427400692278e+00
7.103892095766755066e-01 2.424840427400692278e+00
7.116386026629806238e-01 2.511499715572337088e+00
7.116697380681531460e-01 2.789558659859769918e+00
7.131848985338788971e-01 2.834776067350397444e+00
7.136400376926095301e-01 2.859889608408404005e+00
7.165058557193387800e-01 2.860809058108636727e+00
7.171386077318143704e-01 2.913404818026194221e+00
7.254918561132243093e-01 2.920691444299920114e+00
7.297335438295858845e-01 2.920691444299920114e+00
7.309454801335776297e-01 2.966579834660306503e+00
7.355739653144600654e-01 2.967330891565772788e+00
7.442023885646884551e-01 2.982281017721230221e+00
7.520874327239412960e-01 3.005001287797167464e+00
7.623795490064879665e-01 3.030690632957687036e+00
7.645410569340443940e-01 3.030690632957687036e+00
7.658310372970762447e-01 3.069102531532014844e+00
7.732803103880137030e-01 3.070155567596157820e+00
7.740235725690198798e-01 3.102443955730886938e+00
7.832029346126760938e-01 3.102443955730886938e+00
7.855902791248525752e-01 3.143232590420747652e+00
7.915064237154384452e-01 3.164887343323064428e+00
7.932528841160615407e-01 3.165652181797406595e+00
7.950612847103204484e-01 3.165652181797406595e+00
7.973135687632526558e-01 3.197363955007270331e+00
8.027573669268972534e-01 3.205977488076961368e+00
8.030217189132832223e-01 3.205977488076961368e+00
8.067604419144883687e-01 3.205977488076961368e+00
8.109486418437232835e-01 3.223954274667841347e+00
8.178261874220760230e-01 3.223954274667841347e+00
8.179950754559526249e-01 3.225441175483551692e+00
8.208555121432056234e-01 3.244506162422151618e+00
8.216240754667150092e-01 3.283416973293812546e+00
8.231637229018378132e-01 3.283416973293812546e+00
8.233444322935009607e-01 3.283416973293812546e+00
8.249282753788858003e-01 3.283728828084873985e+00
8.270519418649039389e-01 3.304559439186560255e+00
8.274939612773901665e-01 3.330771972008252479e+00
8.281590393359327118e-01 3.336007455465487048e+00
8.282086139665688629e-01 3.385803016698084367e+00
8.328293240195970837e-01 3.401966583347085571e+00
8.362248880362889158e-01 3.406388779726041260e+00
8.394814394406745484e-01 3.406388779726041260e+00
8.539780604331926872e-01 3.408916237058245091e+00
8.551632984130338455e-01 3.414078677341679136e+00
8.696542323083442660e-01 3.418825423745184278e+00
8.705613196989259173e-01 3.418825423745184278e+00
8.709111663165965966e-01 3.436618327354255431e+00
8.777096326621007805e-01 3.436618327354255431e+00
8.905103205256558185e-01 3.437856200944864327e+00
8.926171430069497204e-01 3.448708275555073310e+00
8.929587781427297255e-01 3.459940099930167712e+00
8.962199338036352936e-01 3.470857619954857753e+00
9.014572789346780857e-01 3.472569051655390648e+00
9.049689785005557985e-01 3.472569051655390648e+00
9.051763001380196405e-01 3.478697854073778295e+00
9.055355117746057836e-01 3.506651372522759047e+00
9.068748592041522283e-01 3.506651372522759047e+00
9.101416459918908464e-01 3.506651372522759047e+00
9.129876017074283201e-01 3.536266449146964419e+00
9.138591125120267833e-01 3.536710044294117505e+00
9.152411927425180282e-01 3.556147759952988707e+00
9.154957178852571875e-01 3.556147759952988707e+00
9.196389233873519808e-01 3.570309244366758783e+00
9.198523246514500595e-01 3.600519887577215972e+00
9.204667856015507077e-01 3.619909255184006192e+00
9.205437643112497348e-01 3.619909255184006192e+00
9.230625587685550304e-01 3.660133273027927014e+00
9.275911557957410292e-01 3.673167165513989030e+00
9.285901686489943518e-01 3.673698727552126897e+00
9.328262442356545225e-01 3.677490779095991424e+00
9.396576286468798500e-01 3.684413799584992599e+00
9.438203625036157840e-01 3.698537896996777707e+00
9.494729903047042230e-01 3.710280713808895126e+00
9.551009285425523521e-01 3.710280713808895126e+00
9.551587561568690710e-01 3.724007550481311046e+00
9.629721989791694137e-01 3.724481817833752650e+00
9.634470154834730016e-01 3.773295970884090966e+00
9.666409587436587403e-01 3.799077568902835988e+00
9.715564456364322865e-01 3.821536949614014134e+00
9.744434976384741542e-01 3.836737855027678279e+00
9.778887398628957062e-01 3.872091158775423647e+00
9.793931762207149783e-01 3.880736792823880510e+00
9.821539279285688151e-01 3.898834143362396532e+00
9.869930908077876319e-01 3.903745675631660195e+00
9.891878031959581152e-01 3.931312484502729188e+00
9.928570270326793068e-01 3.931312484502729188e+00
9.936171049430753133e-01 3.931312484502729188e+00
9.955333331854152590e-01 3.940370113306361333e+00
9.964598257319673413e-01 3.940370113306361333e+00
9.988633073823833808e-01 3.956486726672468812e+00
9.997565877916582133e-01 4.005472886304832336e+00
1.003713058407860625e+00 4.006246380231525350e+00
1.003828644832432726e+00 4.006246380231525350e+00
1.006257346346860260e+00 4.007306508393169153e+00
1.006968452622271304e+00 4.041155235002845458e+00
1.010782948722348973e+00 4.041155235002845458e+00
1.013707519696352533e+00 4.052569438364897358e+00
1.014862265912856554e+00 4.087260020030009322e+00
1.015048374505786111e+00 4.105947001494471671e+00
1.015873126035584217e+00 4.160707367974432636e+00
1.023724276803321898e+00 4.163665845952903233e+00
1.024454494269919413e+00 4.171594128395381240e+00
1.026480133363217639e+00 4.197302232964528201e+00
1.026586456454340990e+00 4.249341040776673850e+00
1.030886488058101236e+00 4.252462886147134746e+00
1.031409248678227364e+00 4.252462886147134746e+00
1.031615830265455669e+00 4.252462886147134746e+00
1.031816531087774047e+00 4.252462886147134746e+00
1.037658660514723330e+00 4.366312595030326094e+00
1.038021155500372883e+00 4.368954974476327635e+00
1.043269028613444727e+00 4.422102858952203341e+00
1.045525039210826623e+00 4.423227925235400093e+00
1.048383688009847381e+00 4.446501614674203573e+00
1.049624887515976379e+00 4.446501614674203573e+00
1.049644058481883802e+00 4.494624813728758106e+00
1.051159172180376355e+00 4.519356166475740011e+00
1.051263195621967572e+00 4.519356166475740011e+00
1.055343846589595680e+00 4.519356166475740011e+00
1.055734583652605307e+00 4.519356166475740011e+00
1.056630610121562341e+00 4.522089891186124255e+00
1.058074312119182903e+00 4.525005364885249293e+00
1.060211271725478799e+00 4.561848809577742969e+00
1.064235248846654880e+00 4.611174073719483957e+00
1.064983685613037245e+00 4.621542901782736301e+00
1.065274451421079682e+00 4.621783990626827432e+00
1.068994012928629722e+00 4.642947197380239643e+00
1.069184397293164279e+00 4.675550705806355012e+00
1.069412820648420137e+00 4.685136411479765783e+00
1.074033671408791246e+00 4.687781704499280444e+00
1.076953942523879659e+00 4.707558104617537431e+00
1.077927669497794172e+00 4.735673672184474547e+00
1.078411900500606313e+00 4.735673672184474547e+00
1.078598625740485151e+00 4.747005121437493536e+00
1.083833116581701894e+00 4.776375517428697925e+00
1.088796937575390533e+00 4.806036882311659930e+00
1.095405867827239588e+00 4.843756585626696420e+00
1.098272008435911662e+00 4.850897894808535504e+00
1.098620288636620979e+00 4.858414838535304092e+00
1.100398886092864403e+00 4.867363733001513815e+00
1.103575295658674182e+00 4.867363733001513815e+00
1.103857015425018906e+00 4.868423519770594510e+00
1.104162946398475675e+00 4.884653791638984721e+00
