# mfp(m) k_l(Wm-1K-1)
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.109587642860094275e-74
0.000000000000000000e+00 1.736395669032079092e-74
0.000000000000000000e+00 1.965253767066398222e-74
0.000000000000000000e+00 2.581586321233664503e-74
0.000000000000000000e+00 2.584419360540628411e-74
0.000000000000000000e+00 2.584425645476953904e-74
0.000000000000000000e+00 2.597481778161642485e-74
0.000000000000000000e+00 2.597481778161642485e-74
0.000000000000000000e+00 2.597481778161642485e-74
1.635218788290918996e-25 2.381534737868466230e-39
1.855377802044893778e-24 2.460789001150642736e-37
6.104804721338326037e-24 7.644662869997647520e-37
6.248255446462666478e-24 2.074110849204166426e-36
1.026917924572835151e-23 1.454684005024994108e-35
1.145890317852075330e-23 2.417716861321489383e-35
1.462666916174067561e-23 2.590180400062759879e-35
1.801624003000665803e-23 5.399361072917879694e-35
1.852657868653763590e-23 6.626710769084419656e-35
2.593848286502769128e-23 7.446341072878730684e-35
8.176430569031282083e-23 7.520122551740769622e-34
4.677848317896824656e-22 3.176426084645767208e-33
2.892635398539223153e-19 1.678657652403826358e-26
5.369623981803836945e-19 2.780276129271947671e-25
7.701699088782557921e-19 5.375086145925684844e-25
9.187515855635504707e-19 1.156857085454056965e-24
9.546291007745073696e-19 1.294347755037769662e-24
1.022150208758435712e-18 1.488687995061051269e-24
1.025564869776792252e-18 1.659837612177213732e-24
1.111201949179314720e-18 2.738289738621983590e-24
1.470095519982830939e-18 4.850000253523049909e-22
1.521889123809455667e-18 7.904293753877691139e-22
1.555051256003265410e-18 7.906878977515059548e-22
1.654947443865415521e-18 7.930854230931227775e-22
1.680276124553298201e-18 9.949791614846895118e-22
1.711659263597017999e-18 9.971494769062442128e-22
2.129089624815260138e-18 1.001229556950786519e-21
2.136708887311236443e-18 1.023491078087176728e-21
2.200985380483103766e-18 1.027272752563192186e-21
2.204753551900839119e-18 1.075575150769587870e-21
2.232318451411010294e-18 1.076391241634789056e-21
2.286457727306391471e-18 1.077038595259575511e-21
2.469392028521159511e-18 1.081957666145383700e-21
2.547468067589327670e-18 1.087987572349796383e-21
2.625307150211734909e-18 1.093488388362220627e-21
2.672083222247654868e-18 1.094567287786698708e-21
2.756918553796302181e-18 1.100278021213490404e-21
2.770617232294234390e-18 1.295481903190110506e-21
2.820370808105005650e-18 1.296755296958267445e-21
2.970771820125413398e-18 1.305050503217692270e-21
3.068986887544497754e-18 1.306546723870209518e-21
3.177774931778514303e-18 1.308736061584229041e-21
3.313754427641987603e-18 1.319279995832918747e-21
3.563554410743469985e-18 1.321678957631378887e-21
3.630873695841460772e-18 1.334475598006382585e-21
3.640292823959292742e-18 1.341713455388133442e-21
3.695801503014832294e-18 1.356579796508871666e-21
3.781961423671357918e-18 1.359484502112476412e-21
3.910006423977333489e-18 1.361667298586052556e-21
3.919929435696623152e-18 1.369178135683779440e-21
3.942951201850935611e-18 1.371953321486601560e-21
3.952252906696891704e-18 1.387004367955067036e-21
4.041215558936620081e-18 1.395017972939794839e-21
4.093091529592539634e-18 1.398017914791957717e-21
4.266621523853179684e-18 1.498072907291536014e-21
4.270586343338769949e-18 1.647225130990307723e-21
4.294219395571961888e-18 1.655411398952496721e-21
5.089245592528972243e-18 1.661468669460352525e-21
5.124298892267009009e-18 1.764512534336810371e-21
5.188683193788932026e-18 1.872689846493655902e-21
5.251219080407119310e-18 1.883089770343395791e-21
5.403885054674668790e-18 1.889005041547811336e-21
5.474940182798298457e-18 1.893595052222483237e-21
5.554378288400351903e-18 1.906425562782989171e-21
5.574017385354920610e-18 1.929602009473201589e-21
5.712846344331709999e-18 1.935627850400175311e-21
5.928579047923279607e-18 2.060465357593657614e-21
6.021335963697746491e-18 2.067327965107742457e-21
6.070057893798925264e-18 2.080246715733260894e-21
6.075759613346571082e-18 2.194249055001454877e-21
6.533201866220001695e-18 2.214235876043890134e-21
6.736503454699792866e-18 2.216572273336719589e-21
7.124419852779517528e-18 2.233051497032969829e-21
7.232725449744681489e-18 2.357406594346888658e-21
7.390072626226655738e-18 2.367726090239535776e-21
7.472504258563182920e-18 2.375988884348687007e-21
7.544499977506022821e-18 2.386893803022890491e-21
7.570517204743397635e-18 2.397489945038330002e-21
7.945135974475709333e-18 2.677617905479612024e-21
7.959451214985935148e-18 2.896194309079777631e-21
7.979794218123395591e-18 2.956809933090823482e-21
8.180314474668346054e-18 2.967009999693456092e-21
8.308015049658568658e-18 3.160360468902287078e-21
8.397951270952343464e-18 3.197726570341696089e-21
8.480627055467552842e-18 3.208893643019606990e-21
8.563069706434255985e-18 3.343024788376717705e-21
8.573007201190207235e-18 3.356689813686560510e-21
8.906621235354909071e-18 3.378784345516059144e-21
8.908565928778010714e-18 3.381445374606988587e-21
8.988596801941539932e-18 3.415649315249033433e-21
9.135008668811724743e-18 3.456749900379069382e-21
9.306079255658777994e-18 3.495900556548814760e-21
9.343986610039428104e-18 3.511932880183798068e-21
9.450095797490168016e-18 3.514512635101320784e-21
9.459011668198549525e-18 3.717271439342039771e-21
9.633090398360587169e-18 3.785868793870048224e-21
9.673190074369494128e-18 3.854760509501306651e-21
9.684225313916769268e-18 4.322771348264345090e-21
1.006526309209865813e-17 4.625601141661368065e-21
1.019875435328425908e-17 4.645242578842507275e-21
1.035182240351570580e-17 4.665362270289663213e-21
1.039216248456989290e-17 4.767093602772526292e-21
1.047066194425574130e-17 4.784201502076949035e-21
1.053488895060713232e-17 4.805821767722101890e-21
1.065455347844011473e-17 4.832137730161836830e-21
1.071729860232873854e-17 4.852891556909591261e-21
1.074280774914578076e-17 4.873958048141950218e-21
1.107046450358043256e-17 4.896257674230626352e-21
1.111558289721806641e-17 4.932856197816272950e-21
1.133559226682083131e-17 4.993796728040436496e-21
1.186708819473304031e-17 5.049785107418171338e-21
1.215328186706587281e-17 5.078052500299647232e-21
1.217696474771541786e-17 5.105465097240216045e-21
1.230171756642196007e-17 5.380727404896682643e-21
1.242142906647134168e-17 5.389032288498446812e-21
1.250064007918920269e-17 5.411156835892830491e-21
1.261030146239223027e-17 5.490689195786600099e-21
1.271198995797191466e-17 5.519589354494278240e-21
1.273748293859204962e-17 5.806775810674779307e-21
1.306877680553945729e-17 5.843283237137628325e-21
1.309100732041593289e-17 5.874298406038402719e-21
1.309935989879931715e-17 5.895850015328825315e-21
1.315139784245007763e-17 6.292244684580727831e-21
1.335997029297248219e-17 6.326595750961913478e-21
1.340815438237156443e-17 6.355213895242085040e-21
1.343322039641559466e-17 6.389219118947999961e-21
1.351384182279650545e-17 6.410314149371639343e-21
1.377518758774526006e-17 6.595079957618551404e-21
1.379866015145654049e-17 7.017048934854455055e-21
1.394730199691058834e-17 7.138026547457583198e-21
