# mfp(m) k_l(Wm-1K-1)
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
1.074053733630593430e-38 4.200546124784117241e-65
2.269421934286419151e-37 1.897666392983152817e-62
1.097241924420765640e-36 1.062375122694332061e-61
3.004182415568646375e-36 4.225504896785267240e-60
3.874367805464042956e-36 5.755081247313802915e-60
2.544247701114006526e-35 9.944361597840734177e-60
3.377903261422013368e-35 1.736030637731274394e-59
1.310361723151770587e-26 1.529281191010711758e-41
1.486783341353563704e-25 1.580173605980615631e-39
4.892007413138572202e-25 4.908951758213262641e-39
5.006959822381195958e-25 1.331871695727653692e-38
8.229075832947537448e-25 9.341122984164182875e-38
9.182445934771625736e-25 1.552515217358385246e-37
1.172089480948420537e-24 1.663261133316861252e-37
1.443708419959528952e-24 3.467151329347846829e-37
1.484603757405474243e-24 4.255282938471521186e-37
2.078547246866860542e-24 4.781601193353203652e-37
2.234886273384785518e-24 1.234974096230826993e-36
6.552078368221400915e-24 5.585793285744792646e-36
2.542301230402287467e-23 1.353692378056001404e-34
3.748534096238037116e-23 1.509373939600457968e-34
9.904383696719324259e-23 4.371718156216763755e-34
1.041923045039515306e-22 1.171349878832983241e-33
1.699816492150443822e-22 5.630494198136739438e-33
1.723732735963889891e-22 1.249984044243466990e-32
2.478055595492577971e-22 1.347935995780115329e-32
3.175383630384801188e-22 2.056938064442263223e-32
3.464730357640821823e-22 3.882035283769628782e-32
4.381678391463244483e-22 4.469115364265854383e-32
1.401617202158188002e-21 4.353633115865034927e-31
6.851089541609837274e-21 1.576513832288110284e-30
2.001898015287726822e-20 9.154743378007101434e-26
3.105981477051778343e-20 4.906414641691554592e-23
4.302879702776063652e-20 4.906582395282102123e-23
4.783585927717814788e-20 4.953017220311467247e-23
6.171658350423726216e-20 4.953183843711479547e-23
6.752001649742102769e-20 4.996766952890761081e-23
7.362298668972376341e-20 4.997164661961348460e-23
7.649798561914964546e-20 4.997252950362768861e-23
8.190870350250953185e-20 4.997377744206418909e-23
8.218233300877885163e-20 4.997487646399379995e-23
8.904475115970930285e-20 4.998180164768376622e-23
1.246120493521443238e-19 4.998346172587633753e-23
1.326171029759709107e-19 4.999885722001550106e-23
1.371616323295107320e-19 5.001279370601324258e-23
1.706118820061749254e-19 5.003899357440366494e-23
1.763731567031776138e-19 5.006327725817588904e-23
1.788839923849642687e-19 5.006851771253694712e-23
1.832223742188535009e-19 5.007267463582921590e-23
1.978815811633758361e-19 5.010426200872493032e-23
2.041381049892458405e-19 5.014298251107721148e-23
2.103756406123741596e-19 5.017830550817336337e-23
2.141239814948278577e-19 5.018523356414757065e-23
2.209221526038810759e-19 5.022190452710940188e-23
2.260068180867622707e-19 5.023008151108292198e-23
2.380590113891973689e-19 5.028334843474512680e-23
2.459293505700481828e-19 5.029295628158906747e-23
2.655434852609187542e-19 5.036066321052602004e-23
2.855608883543781863e-19 5.037606792874408134e-23
2.909554334181681134e-19 5.045824040820636474e-23
2.917102232395945885e-19 5.050471766079952236e-23
2.961583404481332502e-19 5.060018053813484265e-23
3.030626558162618287e-19 5.061883284487797954e-23
3.133233786289638316e-19 5.063284947683285299e-23
3.141185465192273917e-19 5.068107964421046251e-23
3.159633663917247202e-19 5.069890025115913501e-23
3.167087466477399956e-19 5.079554919733345504e-23
3.238376553371166909e-19 5.084700784364445945e-23
3.279946700918323897e-19 5.086627170142359918e-23
3.441117951479852589e-19 5.091883908757205646e-23
3.468816235144221648e-19 5.113969623978944805e-23
3.554929116381867739e-19 5.528580975282063048e-23
3.710843178747471480e-19 5.532123022240281250e-23
3.983027797694357904e-19 5.543564566832394029e-23
4.078202056000462670e-19 5.547454188809866401e-23
4.207997444978343187e-19 5.554132406716352253e-23
4.330334376614711950e-19 5.557930845113575199e-23
4.450930210325527299e-19 5.566169842495913814e-23
4.466667750227241087e-19 5.581052390054101679e-23
4.577916566115179106e-19 5.584921829807851611e-23
4.600143118136392071e-19 5.683538492948663679e-23
4.825120788642502360e-19 5.687945254868068117e-23
4.864163486014676355e-19 5.696240914817435601e-23
5.241518181957210479e-19 5.770310364000255128e-23
5.398211137528365397e-19 5.771810660585410291e-23
5.456374164775430170e-19 5.805956730243793855e-23
5.709062996303501293e-19 5.816538716070164424e-23
5.921940458623198510e-19 5.823165287884717209e-23
5.987995996003891098e-19 5.828471167079084900e-23
6.045688847267540721e-19 5.835473662886845718e-23
6.066537420535830653e-19 5.842277880530126517e-23
6.555190686473289257e-19 5.848827761896300991e-23
6.795842343421158020e-19 5.855998597548383243e-23
6.869869995136876421e-19 5.864773471098928855e-23
7.137207347069529652e-19 5.878961276724339089e-23
7.138765702313042878e-19 5.880670032709620856e-23
7.202897421976383549e-19 5.902633786691703884e-23
7.320222704404423837e-19 5.929026159130980532e-23
7.457307937632569521e-19 5.954166402161702209e-23
7.487684512659559006e-19 5.964461415118397493e-23
7.572713756888171447e-19 5.966117981621523324e-23
7.786113872874364877e-19 5.979099948098485012e-23
8.172641743456675912e-19 5.991712520977610334e-23
8.295300873539760524e-19 6.004632200548026187e-23
8.390531424035195635e-19 6.015617884782628167e-23
8.441998916532749742e-19 6.029501144627655729e-23
8.530093224167571366e-19 6.044660199250612722e-23
8.537890559914479997e-19 6.061558758714184415e-23
8.588170564797958265e-19 6.074885642585398476e-23
8.608611994299956195e-19 6.088413301153617844e-23
8.609590109239596435e-19 6.315764828005384339e-23
8.871175556089345270e-19 6.330084333071477059e-23
9.509539792212328355e-19 6.366036769177522057e-23
9.738877441907453681e-19 6.384188422212507256e-23
9.757855416306709428e-19 6.401791175693857352e-23
9.812167983965956722e-19 6.424027438351185209e-23
9.953753780660213452e-19 6.429360344936069837e-23
1.001722851557927804e-18 6.443567424787501673e-23
1.018659104574591326e-18 6.462125402727572903e-23
1.049031177579730196e-18 6.482041515510554098e-23
1.049700500797070985e-18 6.495880688292621135e-23
1.070584182396243878e-18 6.517938917749700107e-23
1.074445352954166347e-18 6.536315802652276633e-23
1.076453986025017190e-18 6.558151952334524493e-23
1.082914481216931495e-18 6.571697937088685340e-23
1.133159812232950689e-18 6.609499424549105656e-23
1.159066415805996133e-18 6.655818097231622953e-23
1.178734198577586487e-18 6.665224230751697072e-23
1.192851230995035339e-18 6.684879522479917529e-23
1.214643978646127872e-18 6.753376456875492228e-23
1.216443851764154317e-18 6.789509100518059526e-23
1.232620907631711585e-18 6.835118496844425003e-23
1.253622464950423886e-18 6.863326651004157235e-23
1.274656736971269558e-18 6.873006321941112043e-23
1.375359372558843555e-18 6.901586321025754529e-23
1.376900525821183230e-18 6.907771196986142408e-23
1.401066907325320094e-18 6.938028299676078067e-23
